hid,size,occupants,race
150,5,"[11628, 31603, 13547, 44472, 3416]",Asian
151,4,"[1727, 34988, 169, 3665]",Asian
152,4,"[41401, 13094, 11063, 23627]",Asian
153,1,[32432],Asian
154,1,[26179],Asian
155,6,"[19363, 36132, 24896, 31446, 22645, 30984]",Asian
156,3,"[28897, 8941, 28821]",Asian
157,2,"[25200, 35778]",Asian
158,1,[11026],Asian
159,2,"[38649, 34073]",Asian
160,1,[3683],Asian
161,4,"[1294, 1461, 31345, 14250]",Asian
162,3,"[36227, 22078, 1229]",Asian
163,5,"[23679, 38297, 43577, 26082, 8128]",Asian
164,3,"[36263, 30379, 9469]",Asian
165,3,"[24857, 12458, 2579]",Asian
166,5,"[25818, 19413, 26220, 35538, 14915]",Asian
167,1,[44251],Asian
168,1,[26463],Asian
169,4,"[36898, 6493, 31081, 32107]",Asian
170,3,"[13450, 39736, 16515]",Asian
171,3,"[43336, 7929, 6049]",Asian
172,1,[19882],Asian
173,1,[33529],Asian
174,1,[10850],Asian
175,2,"[42235, 14278]",Asian
176,4,"[9343, 28523, 10580, 42060]",Asian
177,3,"[43447, 924, 31180]",Asian
178,2,"[35104, 35717]",Asian
179,1,[23031],Asian
180,1,[37848],Asian
181,4,"[24902, 26958, 23983, 24287]",Asian
182,3,"[40581, 5394, 9500]",Asian
183,3,"[39268, 36450, 39150]",Asian
184,4,"[23810, 38513, 38789, 4779]",Asian
185,2,"[1174, 24996]",Asian
186,1,[648],Asian
187,1,[31847],Asian
188,3,"[37897, 25542, 33822]",Asian
189,1,[11481],Asian
190,7,"[35869, 2116, 281, 4047, 5386, 36180, 22583]",Asian
191,2,"[33151, 25043]",Asian
192,3,"[18794, 39801, 43966]",Asian
193,3,"[24414, 37787, 28670]",Asian
194,2,"[43620, 16521]",Asian
195,1,[21279],Asian
196,1,[18928],Asian
197,4,"[29443, 9692, 36702, 19246]",Asian
198,2,"[1448, 42933]",Asian
199,2,"[33383, 26110]",Asian
200,5,"[15364, 11341, 34700, 4341, 34112]",Asian
201,1,[957],Asian
202,1,[36287],Asian
203,3,"[39492, 41260, 976]",Asian
204,1,[20378],Asian
205,3,"[1099, 19401, 35766]",Asian
206,2,"[39949, 21286]",Asian
207,2,"[973, 3745]",Asian
208,1,[27476],Asian
209,1,[23725],Asian
210,4,"[25324, 10408, 40048, 3491]",Asian
211,4,"[3051, 28755, 10817, 23780]",Asian
212,2,"[31478, 40334]",Asian
213,3,"[39607, 26101, 12445]",Asian
214,2,"[31061, 7871]",Asian
215,4,"[821, 42937, 6478, 12577]",Asian
216,5,"[2814, 26602, 17927, 15681, 16421]",Asian
217,4,"[3429, 40545, 34736, 881]",Asian
218,2,"[30252, 37333]",Asian
219,1,[5422],Asian
220,6,"[3229, 31455, 43041, 31424, 24454, 29882]",Asian
221,1,[29054],Asian
222,1,[44159],Asian
223,5,"[8181, 16451, 1722, 43992, 36540]",Asian
224,3,"[17573, 19089, 20633]",Asian
225,1,[33860],Asian
226,5,"[31556, 34811, 37367, 43864, 39233]",Asian
227,4,"[39853, 11696, 24173, 34840]",Asian
228,1,[23114],Asian
229,2,"[12066, 38251]",Asian
230,5,"[12352, 34527, 31967, 19434, 3076]",Asian
231,3,"[21169, 22480, 221]",Asian
232,1,[8136],Asian
233,1,[32667],Asian
234,1,[1182],Asian
235,1,[10994],Asian
236,4,"[9776, 20319, 43611, 10990]",Asian
237,1,[40219],Asian
238,1,[9496],Asian
239,4,"[5459, 4000, 20253, 32773]",Asian
240,1,[227],Asian
241,1,[35120],Asian
242,2,"[7331, 20241]",Asian
243,4,"[5103, 15154, 38538, 17403]",Asian
244,1,[15403],Asian
245,2,"[20169, 25235]",Asian
246,2,"[26903, 42194]",Asian
247,1,[12314],Asian
248,3,"[35513, 5391, 34153]",Asian
249,2,"[7901, 16747]",Asian
250,2,"[13599, 31028]",Asian
251,2,"[41661, 11782]",Asian
252,1,[6172],Asian
253,2,"[4009, 26066]",Asian
254,2,"[43776, 23364]",Asian
255,2,"[44565, 7609]",Asian
256,2,"[15623, 42086]",Asian
257,3,"[34715, 13648, 26936]",Asian
258,2,"[32992, 35454]",Asian
259,5,"[4756, 11711, 12701, 35821, 21146]",Asian
260,2,"[17822, 37547]",Asian
261,2,"[6089, 7843]",Asian
262,1,[18409],Asian
263,2,"[35882, 34731]",Asian
264,2,"[53, 9795]",Asian
265,5,"[41783, 25863, 26361, 14135, 27744]",Asian
266,1,[21965],Asian
267,2,"[12091, 16540]",Asian
268,2,"[21544, 19451]",Asian
269,3,"[3818, 11709, 40610]",Asian
270,4,"[41108, 40933, 40482, 24930]",Asian
271,2,"[36604, 21134]",Asian
272,2,"[19212, 8900]",Asian
273,2,"[29903, 43845]",Asian
274,2,"[41898, 28809]",Asian
275,1,[25145],Asian
276,2,"[17666, 6224]",Asian
277,4,"[44276, 15137, 40029, 17256]",Asian
278,2,"[23802, 34713]",Asian
279,3,"[42502, 6806, 23072]",Asian
280,3,"[4030, 35074, 34995]",Asian
281,5,"[32584, 22787, 38559, 17341, 44532]",Asian
282,3,"[25572, 4259, 19486]",Asian
283,2,"[30547, 41916]",Asian
284,1,[34978],Asian
285,1,[20610],Asian
286,1,[35374],Asian
287,1,[22864],Asian
288,4,"[39095, 38130, 40216, 19316]",Asian
289,4,"[34676, 10666, 22989, 13798]",Asian
290,2,"[11968, 29772]",Asian
291,2,"[17458, 27874]",Asian
292,1,[7437],Asian
293,2,"[33301, 21029]",Asian
294,2,"[41266, 17937]",Asian
295,3,"[3304, 33267, 29598]",Asian
296,5,"[11462, 32362, 8615, 1045, 3530]",Asian
297,1,[36324],Asian
298,3,"[17467, 7304, 30357]",Asian
299,2,"[7854, 37065]",Asian
300,1,[28117],Asian
301,2,"[40291, 33261]",Asian
302,3,"[20080, 19167, 17545]",Asian
303,1,[18108],Asian
304,4,"[26803, 34958, 42480, 17127]",Asian
305,2,"[19236, 1117]",Asian
306,2,"[39596, 41601]",Asian
307,3,"[40668, 4187, 16396]",Asian
308,2,"[21581, 23720]",Asian
309,5,"[13780, 8135, 19116, 8875, 3487]",Asian
310,1,[17456],Asian
311,3,"[16946, 32108, 2524]",Asian
312,2,"[12834, 24294]",Asian
313,2,"[40256, 8285]",Asian
314,2,"[6952, 36547]",Asian
315,3,"[41513, 37388, 31387]",Asian
316,3,"[32196, 21909, 42345]",Asian
317,2,"[27300, 3664]",Asian
318,1,[26731],Asian
319,3,"[22805, 44406, 11958]",Asian
320,2,"[24749, 8871]",Asian
321,2,"[11632, 42246]",Asian
322,2,"[25146, 32408]",Asian
323,1,[25312],Asian
324,2,"[4088, 8644]",Asian
325,2,"[38397, 25227]",Asian
326,1,[10013],Asian
327,2,"[7397, 9891]",Asian
328,2,"[8122, 38776]",Asian
329,1,[30720],Asian
330,3,"[8584, 8945, 20767]",Asian
331,4,"[40946, 23860, 41515, 505]",Asian
332,1,[26471],Asian
333,1,[17107],Asian
334,2,"[3554, 10684]",Asian
335,1,[659],Asian
336,1,[36821],Asian
337,1,[9643],Asian
338,3,"[32084, 1858, 13152]",Asian
339,3,"[28029, 43456, 37681]",Asian
340,2,"[15899, 21060]",Asian
341,3,"[17372, 5245, 5326]",Asian
342,2,"[7508, 2903]",Asian
343,1,[34118],Asian
344,2,"[8011, 6180]",Asian
345,4,"[33732, 39545, 29585, 18724]",Asian
346,1,[35931],Asian
347,6,"[8207, 25660, 20456, 13291, 35243, 27614]",Asian
348,2,"[32005, 38059]",Asian
349,4,"[29524, 43539, 7961, 19821]",Asian
350,3,"[24303, 16270, 35052]",Asian
351,4,"[23875, 38113, 41439, 21298]",Asian
352,1,[40358],Asian
353,4,"[16223, 21790, 8793, 8742]",Asian
354,1,[18142],Asian
355,3,"[44127, 17562, 7468]",Asian
356,3,"[18328, 43559, 22456]",Asian
357,2,"[40862, 41245]",Asian
358,1,[10055],Asian
359,2,"[21628, 23268]",Asian
360,1,[44117],Asian
361,2,"[38972, 36633]",Asian
362,1,[12039],Asian
363,5,"[36863, 20696, 18673, 10741, 7403]",Asian
364,2,"[8737, 26749]",Asian
365,4,"[18961, 43693, 17652, 44318]",Asian
366,1,[43997],Asian
367,1,[40453],Asian
368,1,[20371],Asian
369,2,"[42238, 15272]",Asian
370,1,[33248],Asian
371,4,"[31745, 16249, 41334, 17392]",Asian
372,3,"[15996, 44381, 13642]",Asian
373,1,[11699],Asian
374,4,"[33467, 37699, 29184, 2053]",Asian
375,2,"[7584, 2221]",Asian
376,2,"[33508, 21717]",Asian
377,3,"[7241, 22724, 19637]",Asian
378,1,[774],Asian
379,2,"[32254, 26183]",Asian
380,3,"[15723, 641, 31338]",Asian
381,3,"[14103, 40328, 44119]",Asian
382,1,[23046],Asian
383,2,"[20771, 11411]",Asian
384,5,"[35123, 17785, 39765, 40434, 14714]",Asian
385,2,"[4908, 866]",Asian
386,1,[16395],Asian
387,1,[28411],Asian
388,1,[19496],Asian
389,4,"[4592, 42731, 16072, 11847]",Asian
390,2,"[29089, 27379]",Asian
391,4,"[40093, 6368, 3641, 20343]",Asian
392,1,[24474],Asian
393,2,"[29759, 32113]",Asian
394,1,[33342],Asian
395,4,"[9607, 12919, 9929, 12014]",Asian
396,3,"[44564, 1020, 37205]",Asian
397,2,"[23089, 20792]",Asian
398,1,[21378],Asian
399,1,[15099],Asian
400,1,[1166],Asian
401,2,"[9544, 43361]",Asian
402,1,[41852],Asian
403,1,[42637],Asian
404,3,"[34429, 18326, 36391]",Asian
405,3,"[11043, 26265, 6517]",Asian
406,2,"[8298, 16905]",Asian
407,2,"[4455, 31888]",Asian
408,4,"[41700, 26449, 32633, 36158]",Asian
409,4,"[29051, 18628, 33067, 42769]",Asian
410,1,[40951],Asian
411,2,"[27887, 863]",Asian
412,3,"[22368, 23944, 41035]",Asian
413,1,[32296],Asian
414,3,"[27604, 10546, 34249]",Asian
415,1,[27121],Asian
416,2,"[16349, 18339]",Asian
417,1,[8437],Asian
418,3,"[22354, 41461, 43560]",Asian
419,2,"[44214, 6136]",Asian
420,3,"[40327, 16445, 31909]",Asian
421,3,"[1125, 33145, 40625]",Asian
422,1,[15062],Asian
423,1,[29915],Asian
424,1,[44202],Asian
425,4,"[5488, 18682, 23035, 3902]",Asian
426,2,"[14636, 37477]",Asian
427,2,"[18806, 4498]",Asian
428,2,"[24890, 10832]",Asian
429,1,[5242],Asian
430,4,"[15727, 19603, 6059, 38131]",Asian
431,6,"[37331, 12363, 35713, 31461, 19140, 14328]",Asian
432,3,"[41637, 3516, 900]",Asian
433,3,"[36926, 19562, 39230]",Asian
434,4,"[32247, 4342, 18389, 40447]",Asian
435,1,[40467],Asian
436,2,"[42540, 3925]",Asian
437,1,[24650],Asian
438,1,[17400],Asian
439,4,"[23129, 32127, 1679, 14115]",Asian
440,2,"[41, 18514]",Asian
441,4,"[16564, 13496, 24081, 26980]",Asian
442,2,"[9116, 1746]",Asian
443,3,"[15121, 14531, 37871]",Asian
444,1,[29723],Asian
445,4,"[37900, 22370, 17045, 39724]",Asian
446,3,"[24256, 23215, 2068]",Asian
447,1,[25166],Asian
448,2,"[37019, 41820]",Asian
449,1,[42640],Asian
450,2,"[43863, 35750]",Asian
451,4,"[13932, 10317, 9863, 42383]",Asian
452,3,"[21075, 32200, 9785]",Asian
453,7,"[17994, 27839, 12550, 36587, 27934, 14749, 10973]",Asian
454,2,"[24385, 38888]",Asian
455,3,"[14424, 28933, 39873]",Asian
456,1,[40890],Asian
457,1,[39602],Asian
458,3,"[22054, 4131, 27230]",Asian
459,1,[21517],Asian
460,1,[25774],Asian
461,2,"[32821, 26374]",Asian
462,4,"[29050, 42004, 24892, 12114]",Asian
463,2,"[4773, 35916]",Asian
464,1,[31510],Asian
465,3,"[27266, 28678, 2308]",Asian
466,2,"[25330, 11448]",Asian
467,2,"[2668, 5676]",Asian
468,1,[11897],Asian
469,2,"[30942, 13442]",Asian
470,7,"[22247, 23173, 12489, 25875, 38478, 42793, 30416]",Asian
471,1,[10128],Asian
472,5,"[10010, 12074, 19418, 12784, 29811]",Asian
473,4,"[35856, 30538, 11293, 31681]",Asian
474,1,[26445],Asian
475,1,[36743],Asian
476,3,"[11673, 25287, 42584]",Asian
477,6,"[22212, 4083, 35227, 10205, 17484, 29492]",Asian
478,4,"[37185, 23618, 37529, 26822]",Asian
479,1,[26717],Asian
480,1,[33990],Asian
481,2,"[24643, 11350]",Asian
482,4,"[37010, 43846, 36531, 24257]",Asian
483,1,[20989],Asian
484,3,"[7946, 41277, 19003]",Asian
485,2,"[41524, 35400]",Asian
486,4,"[3088, 11484, 39325, 7829]",Asian
487,1,[36211],Asian
488,5,"[34592, 40154, 8530, 36354, 39219]",Asian
489,4,"[12865, 42906, 3939, 37716]",Asian
490,3,"[37951, 26637, 19928]",Asian
491,2,"[36192, 13992]",Asian
492,2,"[42034, 7693]",Asian
493,2,"[5019, 8921]",Asian
494,2,"[13696, 11256]",Asian
495,3,"[32273, 20508, 43364]",Asian
496,3,"[6803, 44085, 9376]",Asian
497,2,"[37358, 4948]",Asian
498,2,"[1838, 14230]",Asian
499,4,"[28643, 21579, 26454, 34935]",Asian
500,3,"[28442, 31567, 35383]",Asian
501,1,[9380],Asian
502,5,"[6841, 7643, 18550, 5280, 18544]",Asian
503,3,"[40296, 8862, 7303]",Asian
504,3,"[32003, 32901, 35270]",Asian
505,1,[20420],Asian
506,2,"[28301, 19075]",Asian
507,2,"[14254, 39570]",Asian
508,1,[4281],Asian
509,1,[4465],Asian
510,2,"[1164, 20568]",Asian
511,2,"[18068, 42840]",Asian
512,3,"[12880, 20735, 5415]",Asian
513,3,"[38205, 6830, 7786]",Asian
514,1,[43569],Asian
515,2,"[4891, 37398]",Asian
516,1,[33426],Asian
517,5,"[23302, 14402, 9541, 6661, 16090]",Asian
518,1,[33576],Asian
519,2,"[33733, 20050]",Asian
520,2,"[23796, 29864]",Asian
521,2,"[21670, 28437]",Asian
522,4,"[7167, 43070, 44310, 31753]",Asian
523,4,"[2869, 11984, 20482, 9067]",Asian
524,2,"[20560, 37583]",Asian
525,4,"[34613, 36913, 38782, 31254]",Asian
526,1,[14430],Asian
527,2,"[13657, 24555]",Asian
528,1,[10454],Asian
529,1,[11220],Asian
530,5,"[25814, 16212, 30069, 8565, 16670]",Asian
531,3,"[25011, 25215, 26132]",Asian
532,3,"[20574, 23820, 19828]",Asian
533,3,"[20220, 17627, 25584]",Asian
534,5,"[29470, 26920, 17314, 33556, 11983]",Asian
535,1,[836],Asian
536,1,[44115],Asian
537,1,[444],Asian
538,4,"[5519, 42965, 38347, 19030]",Asian
539,4,"[37733, 36763, 10463, 44185]",Asian
540,3,"[40096, 43902, 5283]",Asian
541,2,"[18379, 31347]",Asian
542,2,"[9204, 20778]",Asian
543,3,"[3485, 20726, 36275]",Asian
544,4,"[24941, 25319, 18070, 24706]",Asian
545,3,"[8890, 3817, 28568]",Asian
546,1,[5220],Asian
547,2,"[23930, 31126]",Asian
548,2,"[34812, 14216]",Asian
549,2,"[7931, 4410]",Asian
550,1,[16734],Asian
551,4,"[36792, 6945, 38773, 9050]",Asian
552,4,"[18855, 11999, 30023, 12825]",Asian
553,1,[40186],Asian
554,2,"[31910, 22482]",Asian
555,3,"[11728, 6210, 13055]",Asian
556,3,"[44093, 18805, 26138]",Asian
557,1,[8220],Asian
558,1,[40991],Asian
559,6,"[2295, 12214, 43295, 25826, 38415, 24235]",Asian
560,2,"[12646, 20106]",Asian
561,4,"[22688, 41049, 17421, 5414]",Asian
562,5,"[13535, 33690, 17319, 28146, 18680]",Asian
563,2,"[12379, 14983]",Asian
564,4,"[19159, 31816, 22858, 41302]",Asian
565,7,"[25799, 20161, 19605, 22903, 4704, 9314, 22705]",Asian
566,1,[29960],Asian
567,2,"[27825, 35720]",Asian
568,1,[13637],Asian
569,3,"[20004, 33448, 31530]",Asian
570,2,"[24012, 27956]",Asian
571,3,"[22888, 36950, 29813]",Asian
572,2,"[10612, 42891]",Asian
573,2,"[41792, 30752]",Asian
574,2,"[27412, 32239]",Asian
575,4,"[39937, 42614, 27522, 31622]",Asian
576,3,"[5540, 17904, 31183]",Asian
577,3,"[15732, 4080, 4337]",Asian
578,4,"[960, 2966, 11482, 19990]",Asian
579,1,[36622],Asian
580,4,"[39349, 11160, 43791, 21807]",Asian
581,2,"[15474, 22635]",Asian
582,2,"[28014, 11041]",Asian
583,2,"[30853, 35847]",Asian
584,1,[32753],Asian
585,5,"[29861, 25277, 24500, 5539, 33090]",Asian
586,3,"[32545, 32586, 25969]",Asian
587,2,"[21875, 10709]",Asian
588,3,"[34534, 4037, 35101]",Asian
589,1,[2624],Asian
590,3,"[11379, 37559, 4675]",Asian
591,2,"[43279, 34156]",Asian
592,3,"[10468, 28738, 20345]",Asian
593,2,"[40161, 4414]",Asian
594,1,[10675],Asian
595,1,[10138],Asian
596,5,"[27360, 42404, 20049, 28613, 28052]",Asian
597,4,"[18337, 41416, 8618, 10519]",Asian
598,2,"[15081, 42779]",Asian
599,6,"[19443, 19825, 847, 21646, 30406, 1399]",Asian
600,5,"[11184, 40168, 19563, 31331, 36670]",Asian
601,4,"[1599, 855, 40373, 2612]",Asian
602,2,"[20678, 12992]",Asian
603,3,"[14866, 6271, 37211]",Asian
604,1,[40542],Asian
605,3,"[39658, 44545, 19764]",Asian
606,3,"[430, 9383, 7652]",Asian
607,2,"[17943, 43038]",Asian
608,2,"[4178, 6104]",Asian
609,2,"[28837, 4125]",Asian
610,1,[28628],Asian
611,4,"[4581, 32125, 19684, 20410]",Asian
612,2,"[10823, 20917]",Asian
613,2,"[24596, 36030]",Asian
614,2,"[13858, 34630]",Asian
615,1,[12431],Asian
616,2,"[15514, 38811]",Asian
617,2,"[21452, 24184]",Asian
618,1,[34387],Asian
619,1,[31023],Asian
620,1,[37112],Asian
621,1,[31173],Asian
622,2,"[42405, 11502]",Asian
623,2,"[15149, 23204]",Asian
624,3,"[33196, 42904, 36618]",Asian
625,2,"[14394, 28216]",Asian
626,2,"[44055, 21478]",Asian
627,6,"[35776, 7804, 38228, 9633, 28874, 2644]",Asian
628,7,"[34409, 21340, 8071, 19336, 19349, 12241, 38446]",Asian
629,2,"[40883, 14586]",Black
630,1,[2454],Black
631,1,[18874],Black
632,1,[11712],Black
633,2,"[3598, 19441]",Black
634,2,"[40504, 40664]",Black
635,2,"[26377, 39508]",Black
636,2,"[11127, 23864]",Black
637,5,"[22145, 252, 22190, 29239, 12590]",Black
638,1,[2667],Black
639,1,[14293],Black
640,2,"[30024, 33021]",Black
641,3,"[40421, 24862, 37298]",Black
642,3,"[3592, 35144, 28407]",Black
643,1,[41843],Black
644,1,[18026],Black
645,1,[31584],Black
646,2,"[39287, 32931]",Black
647,2,"[8344, 2665]",Black
648,4,"[22336, 20117, 29291, 42583]",Black
649,1,[13232],Black
650,1,[19656],Black
651,1,[20287],Black
652,4,"[22908, 43106, 1799, 38329]",Black
653,2,"[20537, 13661]",Black
654,1,[13985],Black
655,5,"[779, 35244, 23368, 19662, 32840]",Black
656,2,"[17812, 44345]",Black
657,1,[39336],Black
658,2,"[25323, 37737]",Black
659,1,[18001],Black
660,1,[17970],Black
661,1,[29015],Black
662,1,[831],Black
663,3,"[5478, 44522, 11862]",Black
664,4,"[8661, 16506, 3391, 15042]",Black
665,2,"[16814, 41954]",Black
666,1,[18619],Black
667,1,[21364],Black
668,2,"[39690, 26248]",Black
669,3,"[32660, 22204, 4832]",Black
670,2,"[28131, 15088]",Black
671,3,"[27490, 43671, 5560]",Black
672,2,"[18865, 37751]",Black
673,1,[22745],Black
674,1,[20470],Black
675,1,[33018],Black
676,3,"[44210, 20402, 14890]",Black
677,2,"[8838, 23600]",Black
678,1,[26638],Black
679,2,"[5621, 13915]",Black
680,4,"[2000, 33648, 18892, 3610]",Black
681,2,"[18215, 28338]",Black
682,1,[40704],Black
683,3,"[31288, 38391, 22011]",Black
684,2,"[39321, 41960]",Black
685,6,"[23358, 13306, 3947, 8358, 6906, 8849]",Black
686,1,[40909],Black
687,6,"[9886, 20460, 30413, 7323, 4470, 38259]",Black
688,3,"[28100, 42514, 38146]",Black
689,1,[32855],Black
690,2,"[23483, 33390]",Black
691,2,"[39798, 2174]",Black
692,1,[5897],Black
693,2,"[6394, 2363]",Black
694,3,"[305, 29745, 29601]",Black
695,2,"[12608, 15185]",Black
696,1,[35731],Black
697,1,[15223],Black
698,4,"[302, 18694, 36277, 26023]",Black
699,2,"[39921, 21676]",Black
700,1,[3607],Black
701,3,"[39279, 6508, 24084]",Black
702,1,[42923],Black
703,1,[44328],Black
704,2,"[42513, 16495]",Black
705,2,"[35301, 10861]",Black
706,2,"[268, 36957]",Black
707,2,"[41828, 11803]",Black
708,5,"[41409, 36958, 3795, 1870, 1607]",Black
709,4,"[8848, 13797, 18298, 14178]",Black
710,1,[25581],Black
711,1,[25977],Black
712,2,"[20841, 32425]",Black
713,1,[43454],Black
714,2,"[12866, 41964]",Black
715,3,"[37000, 30244, 20951]",Black
716,1,[26162],Black
717,4,"[37495, 6390, 16930, 30632]",Black
718,2,"[16384, 25746]",Black
719,2,"[1651, 42209]",Black
720,2,"[44029, 29708]",Black
721,4,"[7246, 24143, 39483, 38677]",Black
722,5,"[6013, 3810, 26290, 39114, 1876]",Black
723,1,[41498],Black
724,2,"[9146, 39878]",Black
725,5,"[11, 25303, 35171, 6374, 23437]",Black
726,2,"[35128, 22243]",Black
727,2,"[2671, 2477]",Black
728,2,"[10974, 718]",Black
729,3,"[31318, 7913, 17240]",Black
730,1,[27691],Black
731,3,"[10236, 36977, 21339]",Black
732,3,"[32972, 27221, 23918]",Black
733,1,[40842],Black
734,5,"[30397, 42350, 25098, 28624, 15006]",Black
735,3,"[29756, 4115, 42631]",Black
736,4,"[40956, 18462, 9402, 14112]",Black
737,5,"[5054, 30153, 31612, 31027, 1568]",Black
738,5,"[23448, 7385, 39718, 16335, 8767]",Black
739,3,"[42162, 10810, 39266]",Black
740,3,"[26372, 17388, 37197]",Black
